Volatility 3 Framework 2.12.0

Offset	Name

0x1fd1e0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-GroupPolicy-ClientTools-Package-admin~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x1fd770	\Windows\AppCompat\Programs\Amcache.hve.LOG1
0x1fdba0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-SKU-Foundation-Package-enduser~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x1fdf20	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-SKU-Foundation-Package-ds~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x5ae070	\Windows\System32\Drivers\en-US\MsLbfoProvider.sys.mui
0x5ae300	\Windows\System32\msimtf.dll
0x5ae5f0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-UpdateServices-CoreServices-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x5ae970	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-UpdateServices-API-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x5aebb0	\Windows\WinSxS\FileMaps\$$_system32_21f9a9c4a2f8b514.cdf-ms
0x5aed00	\CMNotify
0x672cd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-MSDTC-IncomingTransactions~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x832540	\$Directory
0xc7aba0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-SKU-Foundation-Package-multimedia~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0xc7af20	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerCore-SKU-Foundation-Package-multimedia~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0xdd1cd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-msmq-cluster-package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
